company,link,location,title
Company Confidential,http://www.jobstreet.co.id/id/job/production-manager-1994109?fr=21&src=16,Jawa Barat,Production Manager
Công Ty TNHH Thái Trịnh,http://www.jobstreet.vn/vi/job/chuyen-vien-solidworks-boc-tachthiet-ke-do-go-noi-that-380148?fr=21&src=16,Hồ Chí Minh (Việt Nam),Chuyên viên Solidworks – Bóc tách / thiết kế đồ gỗ nội thất
Company Confidential,http://www.jobstreet.co.id/id/job/production-supervisor-1994029?fr=21&src=16,Jawa Barat,Production Supervisor
PT Donaldson Filtration Indonesia,http://www.jobstreet.co.id/id/job/iaf-sales-and-application-engineer-1987873?fr=21&src=16,Jakarta Selatan (Jakarta Raya),IAF Sales and Application Engineer
Sinar Baja Electric,http://www.jobstreet.co.id/id/job/senior-production-mechanical-engineer-1981861?fr=21&src=16,"Jawa Timur - Tandes, Surabaya",Senior Production Mechanical Engineer
"PT Bukaka Teknik Utama, Tbk",http://www.jobstreet.co.id/id/job/bridge-engineer-project-based-1989895?fr=21&src=16,Jawa Barat,Bridge Engineer (Project Based)
PT NGK BUSI INDONESIA,http://www.jobstreet.co.id/id/job/production-engineer-1977747?fr=21&src=16,Jakarta Raya - Jakarta Timur,Production Engineer
PT Formulatrix Indonesia,http://www.jobstreet.co.id/id/job/r-n-d-senior-mechanical-design-engineer-1976402?fr=21&src=16,Salatiga (Jawa Tengah),R n D Senior Mechanical Design Engineer
Cty TNHH PMA Industrier Việt Nam,http://www.jobstreet.vn/vi/job/nhan-vien-thiet-ke-377195?fr=21&src=16,Bình Dương (Việt Nam),Nhân viên Thiết kế
Công Ty TNHH Một Thành Viên Cao Su Thống Nhất,http://www.jobstreet.vn/vi/job/ky-su-co-khi-376619?fr=21&src=16,Hồ Chí Minh (Việt Nam),Kỹ Sư Cơ Khí
Công ty TNHH Thương Mại - Kỹ Thuật Công Nghiệp Việt Á,http://www.jobstreet.vn/vi/job/nhan-vien-ky-thuat-379366?fr=21&src=16,Hồ Chí Minh (Việt Nam),Nhân Viên Kỹ Thuật
CÔNG TY TNHH KD VIỆT NAM,http://www.jobstreet.vn/vi/job/nhan-vien-co-khi-379354?fr=21&src=16,Đồng Nai (Việt Nam),Nhân Viên Cơ Khí
Công Ty TNHH Đầu Tư Công Nông Nghiệp Miền Nam,http://www.jobstreet.vn/vi/job/nhan-vien-bao-tri-co-khi-375775?fr=21&src=16,"Bình Dương (Việt Nam), Bình Phước (Việt Nam), Hồ Chí Minh (Việt Nam)",Nhân Viên Bảo Trì Cơ Khí
PT. Kosaido HR Indonesia,http://www.jobstreet.co.id/id/job/drafter-in-cikarang-area-1987320?fr=21&src=16,Cikarang (Jawa Barat),Drafter in Cikarang Area
PT Talenta Guna Nusantara,http://www.jobstreet.co.id/id/job/maintenance-section-head-tangerang-1978720?fr=21&src=16,Tangerang (Banten),Maintenance Section Head (Tangerang)
CV Krea Kalyana Kaamita,http://www.jobstreet.co.id/id/job/product-designer-1981833?fr=21&src=16,Surabaya (Jawa Timur),Product Designer
PT Formulatrix Indonesia,http://www.jobstreet.co.id/id/job/rd-mechanical-engineer-1987844?fr=21&src=16,"Jawa Tengah - Jl. Tugu Wijaya III No. 5, Kawasan Industri Wijaya",R&D Mechanical Engineer
PT Esco Bintan Indonesia,http://www.jobstreet.co.id/id/job/mechanical-design-engineer-1986698?fr=21&src=16,Kepulauan Riau - Jl. Asoka Blok D6 - D10 Bintan Industrial Estate,Mechanical Design Engineer
Chi Nhánh Công ty TNHH Lixil Việt Nam Tại Quảng Nam,http://www.jobstreet.vn/vi/job/ky-su-thiet-ke-cad-cam-370376?fr=21&src=16,Quảng Nam (Việt Nam),Kỹ Sư Thiết Kế CAD CAM
Công Ty Cổ Phần Jesco Asia,http://www.jobstreet.vn/vi/job/ky-su-thiet-ke-co-khi-biet-tieng-nhat-378862?fr=21&src=16,Hồ Chí Minh (Việt Nam),Kỹ sư thiết kế cơ khí biết tiếng Nhật
Công Ty CP Prime Group,http://www.jobstreet.vn/vi/job/ky-su-co-khi-che-tao-may-377655?fr=21&src=16,"Hà Nội (Việt Nam), Vĩnh Phúc (Việt Nam)",Kỹ Sư Cơ Khí Chế Tạo Máy
Công Ty TNHH Thương Mại Thăng Uy,http://www.jobstreet.vn/vi/job/ky-su-thiet-ke-dien-378399?fr=21&src=16,Hồ Chí Minh (Việt Nam),Kỹ Sư Thiết Kế Điện
Công Ty TNHH Thương Mại Thăng Uy,http://www.jobstreet.vn/vi/job/ky-su-thiet-ke-co-khi-378384?fr=21&src=16,Hồ Chí Minh (Việt Nam),Kỹ Sư Thiết Kế Cơ Khí
Công ty Cổ phần Đầu tư Bảo Lai,http://www.jobstreet.vn/vi/job/mechanics-378185?fr=21&src=16,Yên Bái (Việt Nam) - Lục Yên,Mechanics
Talent Trader Group Pte Ltd,http://www.jobstreet.com.sg/en/job/mechanical-design-engineer-solidworks-creo-pro-e-5511653?fr=21&src=16,West,Mechanical Design Engineer ( Solidworks / CREO / Pro E)
PT Intelligence HR Solutions Indonesia,http://www.jobstreet.co.id/id/job/design-mold-supervisor-1992309?fr=21&src=16,Jakarta Raya,Design Mold Supervisor
PT Arisma Data Setia,http://www.jobstreet.co.id/id/job/cad-support-engineer-1984100?fr=21&src=16,Jakarta Barat (Jakarta Raya),CAD Support Engineer
Công Ty TNHH ASAMA YUH JIUN INTERNATIONAL Việt Nam,http://www.jobstreet.vn/vi/job/hoa-vien-3d-377937?fr=21&src=16,Bình Dương (Việt Nam),HỌA VIÊN 3D
Công Ty TNHH Một Thành Viên Thương Mại Dịch Vụ Kỹ Thuật D&B,http://www.jobstreet.vn/vi/job/ky-su-co-khi-377748?fr=21&src=16,Hồ Chí Minh (Việt Nam),Kỹ Sư Cơ Khí
